id,categoria,edad,genero,estado_civil,ingreso_reportado,maximo_dias_mora,saldo_total,saldo_productos_activos,saldo_productos_pasivos,cantidad_productos_activos,cantidad_productos_pasivos,saldo_en_competencia,monto_credito,plazo_credito,calificacion_crediticia,garantia_credito,tasa_interes
593197,optima,51.0,femenino,soltero,,134.0,864471.0,830967.0,33504.0,2.0,2.0,549998.58,860000.0,181.0,3.0,hipotecaria,7.2
754231,privada,65.0,masculino,casado,,3.0,3232610.0,279961.0,2952649.0,12.0,6.0,339276.77,60000.0,25.0,2.0,autoliquidable,7.98
595822,optima,57.0,masculino,casado,319476.0,0.0,344863.0,251876.0,92987.0,1.0,1.0,959133.52,56000.0,36.0,4.0,fiduciaria,17.29
716145,optima,42.0,masculino,soltero,78646.0,40.0,83485.0,78400.0,5085.0,3.0,1.0,984694.75,49000.0,41.0,4.0,fiduciaria,19.03
671951,optima,47.0,femenino,divorciado,,24.0,109443.0,96607.0,12836.0,2.0,3.0,207107.57,573000.0,51.0,3.0,fiduciaria,15.82
655176,privada,30.0,femenino,casado,,29.0,5518647.0,63653.0,5454994.0,3.0,3.0,275099.18,66000.0,49.0,3.0,autoliquidable,8.5
877456,optima,34.0,masculino,casado,,2.0,332952.0,308916.0,24036.0,3.0,1.0,247457.23,93000.0,47.0,4.0,fiduciaria,17.19
334640,premier,46.0,masculino,casado,89309.0,2.0,435894.0,398353.0,37541.0,2.0,1.0,1294790.11,280000.0,77.0,3.0,fiduciaria,11.23
873072,premier,50.0,femenino,casado,96644.0,56.0,1356547.0,899226.0,457321.0,3.0,3.0,439616.94,76000.0,58.0,4.0,autoliquidable,7.99
203595,premier,42.0,femenino,casado,117485.0,9.0,1651068.0,1618007.0,33061.0,2.0,3.0,324117.14,427000.0,52.0,4.0,fiduciaria,12.99
111597,privada,54.0,masculino,casado,154586.0,44.0,2308012.0,208323.0,2099689.0,1.0,5.0,262367.81,595000.0,69.0,2.0,autoliquidable,8.71
379805,optima,29.0,femenino,soltero,51635.0,18.0,238595.0,225536.0,13059.0,1.0,3.0,382179.13,35000.0,60.0,5.0,fiduciaria,16.74
218057,premier,49.0,femenino,casado,95937.0,12.0,612013.0,610025.0,1988.0,1.0,0.0,848825.18,788000.0,244.0,2.0,fiduciaria_bienes_inmuebles,8.41
844940,optima,39.0,femenino,casado,44738.0,9.0,226386.0,207065.0,19321.0,6.0,2.0,134148.79,73000.0,40.0,4.0,fiduciaria,22.0
578217,privada,51.0,femenino,casado,67143.0,11.0,1126714.0,854984.0,271730.0,1.0,5.0,2161187.71,128000.0,6.0,2.0,autoliquidable,7.21
923363,optima,33.0,femenino,casado,44601.0,31.0,584303.0,576387.0,7916.0,1.0,0.0,121938.31,250000.0,66.0,2.0,fiduciaria_prendas,8.26
995952,optima,46.0,masculino,divorciado,154551.0,174.0,1704698.0,1692591.0,12107.0,4.0,0.0,173725.98,615000.0,240.0,4.0,hipotecaria,7.08
194913,premier,48.0,femenino,soltero,97209.0,9.0,2140507.0,1898139.0,242368.0,4.0,3.0,355333.59,356000.0,37.0,3.0,fiduciaria,9.38
424732,premier,49.0,femenino,divorciado,93090.0,16.0,430553.0,424313.0,6240.0,1.0,2.0,,28000.0,43.0,4.0,fiduciaria,16.73
824680,premier,45.0,masculino,casado,103505.0,1.0,805151.0,773628.0,31523.0,5.0,1.0,,538000.0,83.0,3.0,fiduciaria,11.87
793378,optima,36.0,masculino,casado,234185.0,1.0,151687.0,137638.0,14049.0,6.0,1.0,1718858.78,74000.0,49.0,4.0,fiduciaria,19.34
840483,premier,58.0,masculino,casado,89160.0,3.0,1327769.0,1312511.0,15258.0,4.0,3.0,,78000.0,28.0,4.0,fiduciaria,12.36
181736,optima,31.0,masculino,casado,54703.0,50.0,76342.0,46966.0,29376.0,1.0,1.0,952074.13,189000.0,34.0,4.0,fiduciaria,21.22
920803,optima,30.0,masculino,divorciado,40806.0,29.0,233532.0,219371.0,14161.0,2.0,2.0,582233.02,120000.0,66.0,4.0,fiduciaria,16.5
722237,optima,56.0,masculino,casado,173776.0,6.0,49154.0,36346.0,12808.0,3.0,2.0,1577.06,96000.0,42.0,3.0,fiduciaria,19.3
845126,optima,48.0,femenino,casado,38929.0,16.0,2079570.0,2070041.0,9529.0,3.0,1.0,2217.81,454000.0,276.0,3.0,hipotecaria,7.15
878664,optima,40.0,femenino,casado,25292.0,55.0,694322.0,667822.0,26500.0,2.0,0.0,376244.1,1894000.0,77.0,6.0,fiduciaria,12.46
533496,optima,37.0,femenino,casado,131901.0,4.0,209480.0,199706.0,9774.0,2.0,0.0,,218000.0,64.0,2.0,fiduciaria_prendas,7.93
847167,optima,37.0,masculino,casado,63730.0,1.0,12040.0,6931.0,5109.0,1.0,1.0,61446.84,223000.0,59.0,3.0,fiduciaria,12.77
684116,optima,47.0,femenino,casado,182229.0,5.0,578788.0,547564.0,31224.0,1.0,0.0,795890.76,172000.0,68.0,4.0,fiduciaria_prendas,8.09
652727,optima,35.0,masculino,divorciado,216536.0,29.0,1033522.0,1010459.0,23063.0,4.0,2.0,493673.28,157000.0,70.0,6.0,fiduciaria,10.42
528619,privada,39.0,femenino,casado,203701.0,2.0,7159764.0,5027722.0,2132042.0,3.0,2.0,81671.64,8461000.0,275.0,1.0,hipotecaria,5.85
961909,privada,62.0,masculino,soltero,50907.0,27.0,17369518.0,5024729.0,12344789.0,1.0,4.0,2115788.26,167000.0,12.0,2.0,autoliquidable,6.56
763308,optima,43.0,femenino,casado,,19.0,383086.0,348629.0,34457.0,3.0,2.0,398524.7,141000.0,45.0,4.0,fiduciaria,15.53
356577,optima,48.0,femenino,casado,33172.0,2.0,570994.0,520406.0,50588.0,3.0,2.0,218014.48,67000.0,71.0,4.0,fiduciaria,12.3
701413,optima,48.0,femenino,casado,59695.0,22.0,327570.0,269487.0,58083.0,1.0,3.0,575167.05,105000.0,68.0,5.0,fiduciaria,14.2
328552,optima,46.0,femenino,viudo,34184.0,23.0,365460.0,362034.0,3426.0,1.0,0.0,245999.66,162000.0,74.0,3.0,fiduciaria_prendas,8.24
807390,premier,43.0,masculino,casado,93645.0,0.0,2290205.0,1929508.0,360697.0,1.0,0.0,2054087.71,1120000.0,192.0,2.0,fiduciaria_bienes_inmuebles,7.4
149995,optima,48.0,femenino,divorciado,,14.0,188776.0,154945.0,33831.0,2.0,1.0,527736.3,75000.0,59.0,3.0,fiduciaria,21.42
706223,premier,38.0,masculino,soltero,101303.0,12.0,1124661.0,1111273.0,13388.0,3.0,3.0,1147726.48,219000.0,70.0,5.0,fiduciaria,11.11
251765,premier,42.0,masculino,divorciado,82255.0,10.0,1364996.0,1325176.0,39820.0,3.0,2.0,799197.61,215000.0,76.0,4.0,fiduciaria,11.51
346599,optima,50.0,masculino,casado,68047.0,32.0,155035.0,128369.0,26666.0,3.0,3.0,916688.85,868000.0,57.0,3.0,fiduciaria,13.17
528910,optima,29.0,femenino,casado,28431.0,24.0,74340.0,55749.0,18591.0,3.0,3.0,567885.12,238000.0,53.0,3.0,fiduciaria,13.22
166964,optima,48.0,masculino,casado,83833.0,6.0,120460.0,63919.0,56541.0,3.0,2.0,1126342.27,813000.0,58.0,2.0,fiduciaria,12.85
811623,optima,49.0,femenino,soltero,58628.0,2.0,569022.0,564819.0,4203.0,3.0,1.0,127159.99,322000.0,61.0,5.0,fiduciaria,13.07
659160,optima,33.0,masculino,casado,30946.0,16.0,443837.0,381314.0,62523.0,1.0,1.0,511206.22,839000.0,280.0,3.0,hipotecaria,7.3
289461,premier,38.0,femenino,casado,93753.0,5.0,93137.0,16489.0,76648.0,2.0,2.0,314275.96,396000.0,49.0,2.0,fiduciaria,16.33
724838,optima,43.0,femenino,casado,50362.0,1.0,72533.0,59128.0,13405.0,1.0,2.0,466414.7,247000.0,45.0,3.0,fiduciaria,17.31
859859,optima,26.0,masculino,soltero,25495.0,7.0,922624.0,896535.0,26089.0,1.0,1.0,657352.86,168000.0,68.0,5.0,fiduciaria,13.89
599814,premier,46.0,femenino,divorciado,105844.0,13.0,2000765.0,1838585.0,162180.0,3.0,2.0,176631.53,1894000.0,61.0,3.0,fiduciaria,9.48
520458,optima,38.0,femenino,casado,33457.0,2.0,477740.0,416559.0,61181.0,1.0,0.0,110274.97,211000.0,85.0,2.0,fiduciaria_prendas,8.25
325228,optima,36.0,femenino,divorciado,51666.0,8.0,223577.0,206552.0,17025.0,4.0,1.0,69363.0,95000.0,62.0,5.0,fiduciaria,17.51
484503,optima,48.0,femenino,viudo,217421.0,5.0,120210.0,100753.0,19457.0,3.0,2.0,,117000.0,61.0,4.0,fiduciaria,14.96
615821,premier,47.0,masculino,soltero,,0.0,706061.0,179159.0,526902.0,4.0,2.0,2799263.25,3023000.0,109.0,2.0,hipotecaria,7.34
726649,optima,82.0,femenino,soltero,169181.0,3.0,138610.0,137126.0,1484.0,3.0,2.0,169249.0,73000.0,60.0,4.0,fiduciaria,17.8
657983,optima,34.0,femenino,casado,,57.0,599481.0,582232.0,17249.0,3.0,2.0,204907.05,906000.0,308.0,4.0,hipotecaria,6.86
740323,optima,37.0,masculino,divorciado,33560.0,21.0,72629.0,37560.0,35069.0,4.0,1.0,1206327.08,581000.0,55.0,3.0,fiduciaria,15.23
823340,optima,31.0,masculino,soltero,37865.0,9.0,23903.0,19141.0,4762.0,5.0,2.0,1221976.59,83000.0,53.0,3.0,fiduciaria,17.82
100483,optima,34.0,femenino,casado,30975.0,10.0,523749.0,523040.0,709.0,1.0,1.0,904872.54,210000.0,68.0,3.0,prendas,8.52
735392,privada,68.0,femenino,soltero,,10.0,2097005.0,953051.0,1143954.0,3.0,1.0,4634.37,1374000.0,42.0,2.0,hipotecaria,6.37
968449,optima,27.0,femenino,casado,,34.0,1228641.0,1227151.0,1490.0,1.0,0.0,68675.95,732000.0,39.0,5.0,fiduciaria,11.55
528468,privada,39.0,masculino,divorciado,163572.0,2.0,1422719.0,91561.0,1331158.0,2.0,6.0,9100698.88,364000.0,347.0,2.0,hipotecaria,5.96
548241,optima,42.0,masculino,casado,94745.0,43.0,171841.0,148220.0,23621.0,4.0,0.0,11498.67,360000.0,54.0,5.0,fiduciaria,17.41
285719,optima,66.0,femenino,casado,39601.0,27.0,362488.0,342253.0,20235.0,2.0,0.0,415143.82,97000.0,85.0,3.0,fiduciaria_prendas,9.57
824278,optima,28.0,masculino,casado,115617.0,9.0,642889.0,638348.0,4541.0,3.0,2.0,81285.05,28000.0,50.0,5.0,fiduciaria,14.37
210885,optima,53.0,masculino,casado,75597.0,3.0,188758.0,174636.0,14122.0,1.0,5.0,,85000.0,48.0,2.0,fiduciaria,15.59
831744,premier,55.0,masculino,casado,,10.0,355851.0,342858.0,12993.0,5.0,2.0,272072.39,50000.0,57.0,4.0,fiduciaria,15.98
543615,optima,42.0,femenino,soltero,52693.0,20.0,476560.0,392108.0,84452.0,2.0,2.0,7047.54,73000.0,50.0,4.0,fiduciaria,19.84
153148,optima,38.0,femenino,soltero,149939.0,15.0,518102.0,501475.0,16627.0,4.0,2.0,334911.38,181000.0,68.0,4.0,fiduciaria,10.44
320138,optima,42.0,femenino,casado,39304.0,124.0,713666.0,700063.0,13603.0,3.0,3.0,1868667.8,813000.0,270.0,3.0,hipotecaria,6.49
438518,premier,34.0,masculino,soltero,88929.0,14.0,56141.0,10003.0,46138.0,11.0,2.0,141294.81,259000.0,58.0,2.0,fiduciaria,16.33
103647,premier,49.0,femenino,casado,114296.0,369.0,330496.0,301792.0,28704.0,3.0,2.0,760789.26,383000.0,285.0,5.0,hipotecaria,7.14
148994,optima,59.0,masculino,soltero,,5.0,279616.0,185263.0,94353.0,1.0,2.0,57465.36,75000.0,66.0,4.0,fiduciaria,18.96
871686,optima,41.0,femenino,casado,,8.0,534876.0,504010.0,30866.0,1.0,1.0,630610.95,307000.0,65.0,4.0,fiduciaria,15.12
777294,optima,36.0,femenino,divorciado,90952.0,9.0,213295.0,205246.0,8049.0,2.0,1.0,6154.05,233000.0,34.0,3.0,fiduciaria,18.27
261337,optima,58.0,femenino,soltero,36894.0,160.0,888217.0,864960.0,23257.0,3.0,3.0,160484.03,1138000.0,246.0,3.0,hipotecaria,6.52
562583,optima,45.0,femenino,soltero,100449.0,20.0,400793.0,376091.0,24702.0,2.0,0.0,19353.73,114000.0,48.0,4.0,fiduciaria,15.57
647819,optima,50.0,masculino,divorciado,47751.0,3.0,141541.0,97746.0,43795.0,3.0,1.0,263956.89,460000.0,68.0,3.0,fiduciaria,14.33
696600,optima,47.0,masculino,soltero,68766.0,14.0,207634.0,181272.0,26362.0,3.0,1.0,328658.98,274000.0,50.0,3.0,fiduciaria,18.89
458088,optima,38.0,femenino,casado,545042.0,7.0,150710.0,127516.0,23194.0,4.0,2.0,585372.75,87000.0,54.0,3.0,fiduciaria,22.46
741243,optima,26.0,femenino,soltero,77976.0,2.0,207356.0,207259.0,97.0,2.0,1.0,92950.55,120000.0,49.0,5.0,fiduciaria,15.86
475906,optima,32.0,masculino,casado,73641.0,19.0,537587.0,532301.0,5286.0,4.0,0.0,116483.19,270000.0,76.0,4.0,fiduciaria,10.99
972997,optima,38.0,masculino,divorciado,,11.0,55620.0,39827.0,15793.0,3.0,1.0,525583.43,257000.0,63.0,3.0,fiduciaria,20.43
412466,premier,46.0,femenino,casado,101464.0,3.0,111345.0,79006.0,32339.0,3.0,4.0,400049.4,334000.0,68.0,2.0,fiduciaria,10.97
447974,optima,31.0,masculino,casado,129878.0,2.0,292495.0,114848.0,177647.0,1.0,4.0,502789.61,105000.0,51.0,2.0,autoliquidable,8.08
830983,optima,53.0,masculino,casado,,7.0,961004.0,934841.0,26163.0,4.0,2.0,39949.65,674000.0,262.0,3.0,hipotecaria,7.4
630260,premier,36.0,masculino,divorciado,113628.0,116.0,509882.0,478821.0,31061.0,2.0,6.0,831218.22,601000.0,278.0,6.0,hipotecaria,6.5
849917,optima,53.0,masculino,soltero,98897.0,8.0,262433.0,254050.0,8383.0,3.0,0.0,43184.34,128000.0,49.0,3.0,fiduciaria_prendas,8.23
553151,premier,80.0,femenino,soltero,52778.0,52.0,1975614.0,1629827.0,345787.0,2.0,1.0,298948.36,1185000.0,159.0,3.0,hipotecaria,9.94
191480,optima,40.0,femenino,casado,34086.0,3.0,344306.0,326764.0,17542.0,4.0,3.0,66610.55,296000.0,47.0,4.0,fiduciaria,20.74
274005,privada,47.0,femenino,casado,147750.0,1.0,6395178.0,445269.0,5949909.0,2.0,0.09909470227822847,1321305.3,133000.0,17.0,2.0,autoliquidable,8.16
410779,optima,29.0,masculino,divorciado,29605.0,19.0,720624.0,706970.0,13654.0,1.0,2.0,583177.44,56000.0,85.0,5.0,fiduciaria,14.39
270124,optima,38.0,masculino,casado,173757.0,32.0,687782.0,666431.0,21351.0,3.0,1.0,462235.2,205000.0,59.0,5.0,fiduciaria,16.03
178722,optima,41.0,femenino,casado,,11.0,1063396.0,1042066.0,21330.0,2.0,1.0,834481.03,795000.0,257.0,3.0,hipotecaria,6.88
705949,premier,40.0,femenino,casado,106612.0,5.0,249156.0,222366.0,26790.0,6.0,3.0,,1125000.0,67.0,3.0,fiduciaria,12.34
150652,optima,61.0,masculino,casado,166202.0,4.0,1141588.0,1071653.0,69935.0,1.0,1.0,3119978.94,139000.0,40.0,4.0,fiduciaria,17.08
917716,privada,44.0,masculino,casado,80589.0,9.0,774864.0,157577.0,617287.0,1.0,2.0,,24000.0,55.0,2.0,autoliquidable,7.29
915417,optima,39.0,masculino,soltero,,26.0,640271.0,620486.0,19785.0,3.0,1.0,922610.38,49000.0,54.0,4.0,fiduciaria,16.76
330623,optima,42.0,masculino,casado,63694.0,22.0,450973.0,416157.0,34816.0,4.0,1.0,670947.97,489000.0,461.0,4.0,hipotecaria,6.23
502887,privada,66.0,femenino,soltero,104433.0,19.0,1314534.0,501349.0,813185.0,2.0,1.0,145179.45,185000.0,45.0,1.0,autoliquidable,7.57
696928,optima,38.0,femenino,divorciado,56374.0,22.0,347264.0,292911.0,54353.0,2.0,3.0,,102000.0,36.0,5.0,fiduciaria,15.83
514475,premier,49.0,femenino,casado,,0.0,482175.0,294528.0,187647.0,3.0,4.0,51644.38,853000.0,95.0,1.0,hipotecaria,7.33
835770,optima,79.0,masculino,soltero,64156.0,18.0,151288.0,95360.0,55928.0,3.0,2.0,35365.99,441000.0,64.0,3.0,fiduciaria,16.06
548258,premier,46.0,masculino,casado,90667.0,1.0,141659.0,32957.0,108702.0,4.0,1.0,277294.79,276000.0,63.0,2.0,fiduciaria,14.43
879219,optima,47.0,femenino,casado,48717.0,21.0,108547.0,75695.0,32852.0,1.0,1.0,409236.66,305000.0,45.0,3.0,fiduciaria,16.91
637367,optima,35.0,masculino,casado,163626.0,17.0,261478.0,241136.0,20342.0,2.0,0.0,885328.74,40000.0,53.0,4.0,fiduciaria,18.73
845607,optima,51.0,masculino,casado,,21.0,356688.0,340701.0,15987.0,1.0,0.1538419532998253,235847.02,291000.0,70.0,4.0,fiduciaria,13.57
522886,premier,33.0,femenino,casado,103921.0,4.0,1338319.0,923940.0,414379.0,1.0,4.0,165264.83,207000.0,75.0,3.0,fiduciaria_prendas,7.6
673269,optima,50.0,femenino,casado,32095.0,8.0,82397.0,41729.0,40668.0,4.0,1.0,243546.09,277000.0,53.0,3.0,fiduciaria,20.44
254789,premier,34.0,masculino,casado,,9.0,295721.0,233568.0,62153.0,4.0,1.0,17882.85,211000.0,77.0,2.0,fiduciaria_prendas,7.78
975669,optima,43.0,femenino,casado,,6.0,366383.0,360094.0,6289.0,1.0,4.0,,211000.0,65.0,3.0,fiduciaria_prendas,7.88
582430,privada,67.0,masculino,soltero,,18.0,3020900.0,88525.0,2932375.0,1.0,4.0,2165534.46,52000.0,16.0,3.0,autoliquidable,8.83
716511,optima,55.0,masculino,soltero,54346.0,14.0,395108.0,369480.0,25628.0,2.0,3.0,44229.57,1280000.0,24.0,4.0,fiduciaria,13.86
963059,optima,43.0,femenino,soltero,,3.0,195278.0,194911.0,367.0,2.0,1.0,55403.73,102000.0,54.0,4.0,fiduciaria,16.12
669233,optima,52.0,masculino,soltero,,3.0,376354.0,330606.0,45748.0,3.0,0.0,138840.41,679000.0,262.0,2.0,hipotecaria,8.17
432513,optima,52.0,masculino,casado,50070.0,13.0,403615.0,92898.0,310717.0,1.0,4.0,3373.31,74000.0,7.0,4.0,autoliquidable,8.02
933255,optima,44.0,masculino,soltero,,21.0,565355.0,524566.0,40789.0,3.0,1.0,182372.03,103000.0,32.0,5.0,fiduciaria,17.54
578662,optima,57.0,masculino,casado,65889.0,5.0,72509.0,22234.0,50275.0,4.0,0.0,366400.5,278000.0,55.0,2.0,fiduciaria,20.68
994309,optima,60.0,masculino,casado,79175.0,8.0,277745.0,197011.0,80734.0,3.0,0.0,696577.31,158000.0,52.0,3.0,fiduciaria,16.46
264438,optima,43.0,femenino,casado,,54.0,91974.0,76156.0,15818.0,2.0,0.0,59932.1,94000.0,63.0,6.0,fiduciaria_prendas,9.02
272460,optima,48.0,femenino,casado,106342.0,1.0,924859.0,892485.0,32374.0,2.0,1.0,155111.49,157000.0,62.0,4.0,fiduciaria,15.88
145428,premier,40.0,masculino,casado,83651.0,15.0,581684.0,400172.0,181512.0,4.0,3.0,412494.92,449000.0,76.0,3.0,fiduciaria,10.49
200775,premier,56.0,masculino,divorciado,,4.0,2422596.0,2085917.0,336679.0,5.0,2.0,,227000.0,43.0,4.0,fiduciaria,11.92
577673,optima,44.0,femenino,casado,53359.0,91.0,700089.0,676701.0,23388.0,3.0,2.0,1299681.27,1392000.0,58.0,6.0,fiduciaria,13.85
186359,premier,37.0,masculino,casado,105072.0,0.0,820453.0,819246.0,1207.0,2.0,0.0,398257.33,1100000.0,222.0,2.0,fiduciaria_bienes_inmuebles,7.69
809215,optima,50.0,femenino,casado,,14.0,406294.0,365758.0,40536.0,2.0,2.0,1871727.14,101000.0,55.0,4.0,fiduciaria,18.74
743043,premier,41.0,femenino,divorciado,68367.0,17.0,282881.0,79868.0,203013.0,5.0,3.0,,1586000.0,272.0,3.0,hipotecaria,5.76
448985,optima,23.0,femenino,soltero,,8.0,102154.0,85785.0,16369.0,2.0,0.0,1652309.1,177000.0,65.0,3.0,fiduciaria_prendas,9.17
971962,optima,40.0,masculino,casado,99705.0,5.0,483955.0,483174.0,781.0,6.0,1.0,,187000.0,64.0,5.0,fiduciaria,15.14
620711,optima,43.0,masculino,casado,130150.0,27.0,515275.0,497773.0,17502.0,2.0,1.0,302830.37,160000.0,53.0,4.0,fiduciaria,16.8
500358,optima,30.0,masculino,casado,31000.0,4.0,484270.0,477236.0,7034.0,4.0,2.0,320440.16,270000.0,49.0,5.0,fiduciaria,13.17
832144,premier,43.0,masculino,casado,84075.0,1.0,457894.0,235104.0,222790.0,2.0,1.0,756106.03,898000.0,63.0,3.0,fiduciaria,11.88
319669,optima,34.0,masculino,soltero,107084.0,40.0,521629.0,496333.0,25296.0,2.0,3.0,188310.32,1943000.0,191.0,3.0,hipotecaria,5.38
539265,optima,25.0,femenino,casado,30223.0,112.0,1161731.0,1159756.0,1975.0,2.0,3.0,538451.97,1559000.0,120.0,5.0,hipotecaria,6.82
388717,optima,53.0,femenino,casado,,4.0,249363.0,230082.0,19281.0,3.0,2.0,1415328.41,162000.0,54.0,3.0,fiduciaria,22.42
111900,optima,34.0,femenino,casado,33834.0,1.0,62106.0,59162.0,2944.0,2.0,1.0,1307558.51,178000.0,82.0,2.0,fiduciaria_prendas,9.11
892885,optima,43.0,masculino,casado,87898.0,14.0,373298.0,346875.0,26423.0,1.0,2.0,1315304.6,276000.0,43.0,4.0,fiduciaria,15.14
781444,optima,42.0,femenino,casado,104214.0,9.0,184200.0,155747.0,28453.0,3.0,1.0,456695.37,121000.0,36.0,3.0,fiduciaria,18.91
783997,optima,47.0,femenino,casado,79695.0,1.0,465967.0,441902.0,24065.0,2.0,1.0,,217000.0,53.0,4.0,fiduciaria,15.2
198391,optima,62.0,femenino,casado,53817.0,3.0,120782.0,66218.0,54564.0,1.0,1.0,2196518.59,256000.0,48.0,2.0,fiduciaria_prendas,10.82
984160,optima,53.0,masculino,casado,138023.0,18.0,817309.0,783510.0,33799.0,2.0,0.14781633427042723,895586.29,156000.0,49.0,4.0,fiduciaria,16.13
665011,optima,48.0,masculino,casado,46701.0,5.0,248097.0,186091.0,62006.0,5.0,1.0,,391000.0,49.0,3.0,fiduciaria,15.78
113025,optima,42.0,masculino,casado,63042.0,2.0,250120.0,174514.0,75606.0,5.0,1.0,319838.89,43000.0,73.0,4.0,fiduciaria,13.34
966450,optima,39.0,masculino,soltero,37429.0,1.0,337913.0,302302.0,35611.0,1.0,1.0,162440.62,258000.0,73.0,2.0,fiduciaria_prendas,8.15
234144,optima,57.0,masculino,casado,92473.0,10.0,88678.0,48159.0,40519.0,3.0,1.0,37703.36,185000.0,39.0,3.0,fiduciaria,15.81
163019,premier,47.0,femenino,soltero,99280.0,0.0,312214.0,252454.0,59760.0,1.0,3.0,137121.15,153000.0,52.0,2.0,prendas,7.31
226718,optima,27.0,femenino,casado,98446.0,14.0,262716.0,245549.0,17167.0,3.0,1.0,405046.55,381000.0,37.0,4.0,fiduciaria,19.17
736256,optima,53.0,masculino,casado,47683.0,21.0,357637.0,297783.0,59854.0,4.0,3.0,46307.24,740000.0,60.0,3.0,fiduciaria,14.05
409158,optima,33.0,masculino,casado,,34.0,48209.0,40823.0,7386.0,5.0,2.0,309384.67,803000.0,53.0,3.0,fiduciaria,13.73
410641,optima,42.0,masculino,casado,74356.0,6.0,956598.0,954688.0,1910.0,4.0,1.0,,361000.0,65.0,4.0,fiduciaria,13.81
431945,premier,30.0,masculino,viudo,94841.0,25.0,712832.0,511809.0,201023.0,1.0,2.0,625428.23,297000.0,81.0,4.0,fiduciaria,10.37
